schemaVersion,recordType,source.name,source.url,content.startupName,content.productName,content.pricingModel,content.website,collectedAt
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,&facts,UNKNOWN,https://www.andfacts.com/,2026-08-15T17:39:56.706983+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,10Web,UNKNOWN,https://10web.io/,2026-08-15T17:39:56.707023+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,11Cast,UNKNOWN,https://11cast.pro/,2026-08-15T17:39:56.707038+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,11x,UNKNOWN,https://www.11x.ai,2026-08-15T17:39:56.707049+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,123RF,UNKNOWN,https://www.123rf.com/ai-image-generator,2026-08-15T17:39:56.707060+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,1PX.AI,UNKNOWN,https://1px.ai/,2026-08-15T17:39:56.707070+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,1v1,UNKNOWN,https://1v1.springworks.in/,2026-08-15T17:39:56.707079+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,2short.ai,UNKNOWN,https://2short.ai/,2026-08-15T17:39:56.707088+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,3DAiLY,UNKNOWN,https://3daily.ai/,2026-08-15T17:39:56.707098+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,3DFY,UNKNOWN,https://3dfy.ai/,2026-08-15T17:39:56.707107+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,40h,UNKNOWN,https://40h.io/,2026-08-15T17:39:56.707120+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,4mAnalytics,UNKNOWN,https://www.4manalytics.com,2026-08-15T17:39:56.707130+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,6000 Thoughts,UNKNOWN,https://6000thoughts.com/,2026-08-15T17:39:56.707140+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,60sec.site,UNKNOWN,https://60sec.site/,2026-08-15T17:39:56.707149+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,A.V. Mapping,UNKNOWN,https://avmapping.co/,2026-08-15T17:39:56.707158+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,Abby,UNKNOWN,https://abby.gg/,2026-08-15T17:39:56.707167+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,Ablo,UNKNOWN,https://www.ablo.ai/,2026-08-15T17:39:56.707175+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,Abridge,UNKNOWN,https://www.abridge.com/,2026-08-15T17:39:56.707188+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,Accountabilabuddy,UNKNOWN,https://www.summit.im/accountabilabuddy,2026-08-15T17:39:56.707201+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,Acrylic,UNKNOWN,https://acrylic.typedream.app/,2026-08-15T17:39:56.707211+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,ActiveBatch,UNKNOWN,https://www.advsyscon.com/en-us/activebatch/,2026-08-15T17:39:56.707220+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,ActiveCampaign AI,UNKNOWN,https://www.activecampaign.com,2026-08-15T17:39:56.707228+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,ActiveLoop.ai,UNKNOWN,https://www.activeloop.ai,2026-08-15T17:39:56.707237+00:00
1.0,PRODUCT,Awesome AI Tools Dataset,https://raw.githubusercontent.com/LichAmnesia/awesome-ai-tools-dataset/main/data.csv,,Actual Chat,UNKNOWN,https://actual.chat/,2026-08-15T17:39:56.707246+00:00
